,address_id,place_type_id,room_type_id,number_of_persons_id,number_of_offers,average_rating,max_rating,min_rating
423,105,3,309,1,2,8.7,9.1,8.3
424,105,3,762,1,2,8.7,9.1,8.3
425,16,3,607,1,2,9.1,9.7,8.5
426,16,3,994,2,2,8.6,8.6,8.6
427,4,3,607,1,2,9.5,9.5,9.5
428,4,3,204,0,2,8.8,9.0,8.6
429,4,3,394,1,2,8.6,8.6,8.6
430,19,3,692,1,2,9.6,9.6,9.6
431,19,3,309,1,2,9.6,9.6,9.6
432,132,3,193,1,2,8.9,8.9,8.9
433,132,3,309,1,2,8.65,8.9,8.4
434,132,3,1421,1,2,8.65,8.9,8.4
435,133,3,181,1,2,8.5,8.5,8.5
436,60,4,1443,9,2,8.4,8.4,8.4
437,0,13,1373,3,1,8.8,8.8,8.8
438,0,13,380,2,1,9.0,9.0,9.0
439,0,13,755,3,1,10.0,10.0,10.0
440,0,13,755,5,1,8.7,8.7,8.7
441,104,13,1373,1,1,8.5,8.5,8.5
442,104,13,745,2,1,8.3,8.3,8.3
443,102,13,595,7,1,9.5,9.5,9.5
444,43,13,745,3,1,8.3,8.3,8.3
445,136,13,1373,3,1,8.7,8.7,8.7
446,158,13,755,4,1,8.5,8.5,8.5
447,58,13,1373,2,1,8.6,8.6,8.6
448,58,13,75,6,1,8.7,8.7,8.7
449,90,13,75,5,1,8.8,8.8,8.8
450,141,13,1373,7,1,9.4,9.4,9.4
451,32,13,755,3,1,9.9,9.9,9.9
452,31,13,240,10,1,8.0,8.0,8.0
453,110,13,380,2,1,9.4,9.4,9.4
454,135,13,755,2,1,8.3,8.3,8.3
455,135,13,755,4,1,9.1,9.1,9.1
456,60,13,1373,1,1,9.2,9.2,9.2
457,60,13,755,4,1,9.8,9.8,9.8
458,18,13,1373,1,1,8.3,8.3,8.3
459,18,13,755,3,1,9.1,9.1,9.1
460,14,13,1335,5,1,8.6,8.6,8.6
461,14,13,1435,5,1,,,
462,116,13,1373,4,1,9.0,9.0,9.0
463,116,13,745,5,1,8.3,8.3,8.3
464,66,13,1373,7,1,8.5,8.5,8.5
465,108,13,1574,5,1,8.3,8.3,8.3
466,144,13,1373,5,1,8.3,8.3,8.3
467,144,13,1335,4,1,8.9,8.9,8.9
468,139,13,755,4,1,8.2,8.2,8.2
469,118,13,755,5,1,8.5,8.5,8.5
470,156,13,755,5,1,9.4,9.4,9.4
471,53,13,755,3,1,8.0,8.0,8.0
472,137,13,1457,3,1,9.1,9.1,9.1
473,137,13,380,3,1,9.1,9.1,9.1
474,137,13,755,5,1,8.6,8.6,8.6
475,37,13,745,7,1,8.3,8.3,8.3
476,104,6,1373,3,1,8.8,8.8,8.8
477,104,6,75,3,1,8.8,8.8,8.8
478,104,6,624,3,1,8.8,8.8,8.8
479,104,6,1335,3,1,8.8,8.8,8.8
480,34,6,595,7,1,8.3,8.3,8.3
481,34,6,755,5,1,8.3,8.3,8.3
482,158,6,240,3,1,8.9,8.9,8.9
483,158,6,1612,3,1,8.9,8.9,8.9
484,58,6,624,3,1,9.1,9.1,9.1
485,58,6,1517,3,1,9.1,9.1,9.1
486,84,6,1457,5,1,8.5,8.5,8.5
487,84,6,175,3,1,8.5,8.5,8.5
488,67,6,545,3,1,8.6,8.6,8.6
489,67,6,653,3,1,8.6,8.6,8.6
490,67,6,1260,3,1,8.6,8.6,8.6
491,67,6,1335,3,1,8.6,8.6,8.6
492,110,6,1612,2,1,8.9,8.9,8.9
493,110,6,755,5,1,8.9,8.9,8.9
494,142,6,624,2,1,8.0,8.0,8.0
495,60,6,1457,3,1,8.5,8.5,8.5
496,60,6,1457,5,1,8.0,8.0,8.0
497,60,6,75,2,1,9.5,9.5,9.5
498,60,6,240,2,1,9.5,9.5,9.5
499,60,6,624,6,1,8.0,8.0,8.0
500,60,6,624,7,1,8.0,8.0,8.0
501,60,6,1084,2,1,8.5,8.5,8.5
502,60,6,1335,4,1,8.0,8.0,8.0
503,60,6,1335,7,1,8.0,8.0,8.0
504,60,6,1478,1,1,8.5,8.5,8.5
505,116,6,1373,1,1,8.6,8.6,8.6
506,116,6,1373,3,1,8.6,8.6,8.6
507,116,6,1373,5,1,8.6,8.6,8.6
508,122,6,1517,0,1,9.1,9.1,9.1
509,122,6,755,4,1,9.1,9.1,9.1
510,144,6,1457,4,1,8.3,8.3,8.3
511,144,6,1655,2,1,9.5,9.5,9.5
512,144,6,380,2,1,9.5,9.5,9.5
513,127,6,1335,3,1,9.3,9.3,9.3
514,127,6,380,3,1,9.3,9.3,9.3
515,139,6,1574,3,1,8.1,8.1,8.1
516,139,6,745,2,1,8.1,8.1,8.1
517,139,6,1335,1,1,8.1,8.1,8.1
518,139,6,1295,3,1,8.1,8.1,8.1
519,139,6,1076,1,1,8.1,8.1,8.1
520,139,6,1545,1,1,8.1,8.1,8.1
521,139,6,1612,1,1,8.1,8.1,8.1
522,132,6,1373,1,1,9.1,9.1,9.1
523,132,6,1373,2,1,9.1,9.1,9.1
524,132,6,380,2,1,9.1,9.1,9.1
525,24,6,1373,4,1,8.7,8.7,8.7
526,10,6,1574,5,1,9.3,9.3,9.3
527,10,6,1574,7,1,9.3,9.3,9.3
528,28,7,144,1,1,8.6,8.6,8.6
529,28,7,1421,1,1,8.6,8.6,8.6
530,28,7,1448,1,1,8.6,8.6,8.6
531,62,7,1160,1,1,8.7,8.7,8.7
532,62,7,1503,1,1,8.7,8.7,8.7
533,62,7,1257,0,1,8.7,8.7,8.7
534,62,7,1223,3,1,8.7,8.7,8.7
535,62,7,1498,3,1,8.7,8.7,8.7
536,62,7,413,2,1,8.7,8.7,8.7
537,142,7,193,1,1,9.3,9.3,9.3
538,142,7,1333,1,1,8.9,8.9,8.9
539,142,7,607,1,1,9.5,9.5,9.5
540,142,7,1462,1,1,8.9,8.9,8.9
541,142,7,692,3,1,9.3,9.3,9.3
542,142,7,965,1,1,9.5,9.5,9.5
543,142,7,181,1,1,9.7,9.7,9.7
544,142,7,1564,1,1,8.9,8.9,8.9
545,142,7,1250,1,1,8.9,8.9,8.9
546,142,7,631,4,1,8.5,8.5,8.5
547,142,7,496,1,1,8.9,8.9,8.9
548,142,7,973,3,1,9.7,9.7,9.7
549,142,7,1664,1,1,8.9,8.9,8.9
550,142,7,1421,1,1,9.3,9.3,9.3
551,142,7,882,4,1,8.5,8.5,8.5
552,142,7,394,3,1,8.4,8.4,8.4
553,142,7,1440,1,1,8.9,8.9,8.9
554,142,7,928,1,1,8.5,8.5,8.5
